VIVOSSPK01_R001|x_ɛ_k_5b s_a_n_6
VIVOSSPK19_144|m_o_t_6b ɣ_ɔ_j_5 s_o_j_1 d_ɤ̆_w_6 s_ɛ_ŋ_1 k_ɔ_5 d_u_4 z_ɯə_2 m_ɛ_2 d_ɤ̆_w_6 f_o_ŋ͡m_6
VIVOSSPK19_145|ɛ_ŋ_1 f_u_5 c_ɯə_1 b_u_5 d_ɯə_k_6b s_ɯə_3 m_ɛ_6 l_ɤ̆_n_2 n_a_w_2
VIVOSSPK19_146|ŋ_ɔ_n_6 l_ɯə_4 b_a_w_6 d_o_ŋ͡m_6 ɤ_4 c_u_ŋ_1 d_o_ŋ͡m_1 v_a_2 f_a_5 v_ɤ_3 l_o_6 c_i_ŋ_2 h_w_a_2 b_i_ŋ_2
VIVOSSPK19_147|m_o_t_6b m_u_j_2 tʰ_u_1 tʰ_ɛ_ŋ_1 ɲ_a_3 v_a_2 iɛ_n_1 b_i_ŋ_2
VIVOSSPK19_148|h_a_j_1 h_ɯə_5 h_ɛ_n_6 d_ɯə_k_6b n_ɔ_j_5 d_e_n_5 ɲ_iə_w_2 ɲ_ɤ̆_t_5b
VIVOSSPK19_149|d_e_2 a_n_5 x_u_1 b_a_w_4 t_o_n_2 b_iə_n_4 d_a_w_4 k_o_n_2 k_ɔ_4
VIVOSSPK19_150|h_ɛ_n_2 c_i_1 ɛ_m_1 tʰ_ɤ̆_j_5 m_a_5 n_ɔ_5 f_i_ŋ_5 z_a_1 m_o_t_6b c_u_t_5b
VIVOSSPK19_151|z_u_p_5b ɲ_ă_w_1 t_i_m_2 ɲ_ɯ_ŋ_3 ɣ_i_2 k_ɔ_n_2 s_ɔ_t_5b l_a_j_6
VIVOSSPK19_152|t_iə_n_2 m_uə_5 c_ɔ_1 d_i_3 d_ɛ_ŋ_5 b_o_ŋ͡m_2 k_uə_4 z_ɤ̆_n_1 tʰ_ă_ŋ_1 l_ɔ_ŋ͡m_1 s_ɯə_1
VIVOSSPK19_153|k_a_k_5b z_w_ɛ_ŋ_1 ŋ_iə_p_6b c_e_5 b_iə_n_5 tʰ_u_j_4 s_a_n_4
VIVOSSPK19_154|ɲ_ɯ_ŋ_3 k_a_m_5 z_o_3 v_e_2 m_o_t_6b f_ɤ̆_n_2 tʰ_ɯə_ŋ_4 t_ɯə_ŋ_4 c_ɯ_ŋ_2 ŋ_ɔ_n_1 ă_n_1
VIVOSSPK19_155|k_a_j_5 n_e_n_2 s_ɯə_1 k_uə_4 n_ɔ_5 b_ɤ̆_j_1 z_ɤ_2 l_a_2 m_o_t_6b k_a_j_5 h_o_5 n_o_ŋ͡m_1 c_w_e_n_2
VIVOSSPK19_156|d_ɛ_p_6b d_ɯə_k_6b d_ɯə_1 d_i_1 k_ɤ̆_p_5b k_ɯ_w_5 t_a_j_6 b_e_ŋ_6 v_iə_n_6 d_a_1 x_w_a_1 t_i_ŋ_4 d_o_ŋ͡m_2 tʰ_a_p_5b
VIVOSSPK19_157|v_a_2 z_ɤ̆_t_5b s_a_ŋ_5 t_a_w_6
VIVOSSPK19_158|d_u_ŋ_5 l_a_2 ɣ_a_2 kw_ɛ_2 ă_n_1 kw_ɤ̆_n_4 k_o_j_5 s_ă_j_1
VIVOSSPK19_159|ɲ_ɯ_ŋ_1 z_ɤ̆_k_5b ŋ_u_4 c_ɤ̆_p_6b c_ɤ_n_2
VIVOSSPK19_160|z_a_m_5 d_o_k͡p_5b s_ɤ_4 z_a_w_5 z_u_k_6b d_a_w_2 t_a_w_6 n_i_ŋ_1 tʰ_w_ɤ̆_n_6 c_ɔ_1 b_iə_t_5b
VIVOSSPK19_161|s_ɛ_3 d_ɯə_k_6b b_ɛu_1 z_a_1 c_ɔ_ŋ͡m_1 f_iə_n_1 t_w_a_2 n_ă_j_2
VIVOSSPK19_162|k_u_ŋ_3 d_a_3 z_a_j_4 tʰ_i_k_5b v_ɤ_j_5 z_ɤ_j_5 c_w_iə_n_2 tʰ_o_ŋ͡m_1
VIVOSSPK19_163|t_i_k_5b k_ɔ_p_5b d_u_4 tʰ_ɯ_5 d_o_2 l_a_k_6b s_ɔ_n_1 ɲ_ɯ_ŋ_3 ŋ_ɔ_n_6 d_ɛ_n_2 z_ɤ̆_w_2 s_ɯə_1
VIVOSSPK19_164|n_ɔ_j_5 z_ɔ_n_1 z_ɔ_n_4
VIVOSSPK19_165|tʰ_i_2 d_ɔ_5 c_i_ŋ_5 l_a_2 m_o_t_6b f_ɤ̆_n_2 tʰ_ɯə_ŋ_4 kw_i_5 z_a_5
VIVOSSPK19_166|k_ɔ_5 v_ɛ_4 ɲ_ɯ_1 ɲ_ɯ_ŋ_3 v_u_6 l_u_m_2 s_u_m_2 n_ă_j_2 d_a_ŋ_1 h_ɯə_ŋ_5 v_e_2 m_o_t_6b m_u_k_6b t_iə_w_1
VIVOSSPK19_167|v_a_2 ɣ_ɯ_j_4 d_e_n_5 k_o_ŋ͡m_1 t_i_1 n_ă_j_2
VIVOSSPK19_168|c_ɔ_ŋ͡m_1 d_ɤ_j_2 s_o_ŋ͡m_5 h_ă_ŋ_2 ŋ_ă_j_2 k_uə_4 ŋ_ɯə_j_2 v_iə_t_6b n_a_m_1
VIVOSSPK19_169|d_e_4 s_ɤ̆_j_1 z_ɯ_ŋ_6 n_e_n_1 m_o_t_6b h_e_6 tʰ_o_ŋ͡m_5 d_ɯ_k_5b t_i_n_1 z_iə_ŋ_1 c_ɔ_1 m_i_ŋ_2
VIVOSSPK19_170|t_ă_n_4 m_ă_n_4 t_i_4 m_i_4
VIVOSSPK19_171|d_ɛ_n_2 b_i_6 h_ɯ_1 z_o_j_2 b_a_1
VIVOSSPK19_172|t_o_j_1 b_iə_t_5b z_ă_ŋ_2 k_u_ŋ_3 ɲ_ɯ_1 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 x_a_k_5b
VIVOSSPK19_173|c_ɯə_ŋ_4 k_o_ŋ͡m_1 a_n_1 s_a_3 c_ă_j_6 s_a_ŋ_1 k_a_n_1 ŋ_ă_n_1 k_u_ŋ_3 b_i_6 t_w_iə_n_5 d_ɛ_ŋ_5 t_iə_p_5b
VIVOSSPK19_174|b_a_n_6 x_o_ŋ͡m_1 k_ɔ_5 x_a_4 n_ă_ŋ_1 l_a_m_2 v_iə_k_6b ɤ_4 ŋ_ɛ_ŋ_2 ŋ_e_2 x_a_k_5b
VIVOSSPK19_175|k_ă_p_6b m_ă_t_5b ɲ_i_n_2 l_i_m_1 z_i_m_1 ɲ_ɛ_m_2 ɲ_ɛ_p_6b
VIVOSSPK19_176|ɲ_ɯ_ŋ_3 x_w_a_ŋ_4 c_o_ŋ͡m_5 c_e_n_1 t_ɯə_ŋ_2 c_ɔ_1 b_iə_t_5b ɲ_iə_w_2 b_ɯ_k_5b c_ɛ_ŋ_1 d_a_3 d_ɯə_k_6b b_a_n_5
VIVOSSPK19_177|k_ɔ_n_2 t_iə_p_5b tʰ_eo_1 z_w_ɛ_ŋ_1 ɲ_ɤ̆_n_1 s_a_j_2 ɣ_ɔ_n_2 k_uə_j_5 t_w_ɤ̆_n_2
VIVOSSPK19_178|x_o_ŋ͡m_1 tʰ_e_4 d_o_4 l_o_j_3 c_ɔ_1 z_ɤ_2 k_a_w_1 d_iə_m_4 n_e_n_1 ŋ_ɯə_j_2 d_i_1 s_ɛ_1 b_w_i_t_5b d_o_ŋ͡m_1
VIVOSSPK19_179|n_e_n_1 z_ɤ̆_t_5b i_t_5b h_ɔ_k͡p_6b c_ɔ_2 k_ɔ_5 tʰ_e_4 tʰ_eo_1 h_ɔ_k͡p_6b d_ɯə_k_6b v_ɤ_j_5 o_ŋ͡m_1
VIVOSSPK19_180|ŋ_ɛ_1 c_u_ŋ_5 t_o_j_1 h_ɔ_j_4 d_iə_w_2 n_ă_j_2 c_i_6 ŋ_a_t_5b z_ɤ̆_n_1 z_ɤ̆_n_5 n_ɯə_k_5b m_ă_t_5b
VIVOSSPK19_181|d_ɯə_1 t_ɤ_j_5 t_i_ŋ_2 c_a_ŋ_6 f_a_5 s_a_n_4
VIVOSSPK19_182|m_u_j_2 m_ɛ_6 ŋ_ă_j_2 s_w_ɤ̆_n_1 l_a_2 s_ɯ_6 h_w_a_2 kw_iɛ_n_6 k_uə_4 m_u_j_2 v_i_6 tʰ_iə_n_1 ɲ_iə_n_1
VIVOSSPK19_183|k_o_ŋ͡m_1 t_a_k_5b z_a_j_4 f_ɔ_ŋ͡m_5 m_ă_t_6b b_ă_ŋ_2
VIVOSSPK19_184|t_w_i_1 ɲ_iə_n_1 t_ɤ_j_5 m_uə_2 l_ɛ_ŋ_6 k_a_k_5b kw_ɤ̆_j_2 h_a_ŋ_2 s_a_ŋ_1 c_ɔ_ŋ͡m_6 n_ă_j_2
VIVOSSPK19_185|f_iə_5 b_ɤ_2 b_e_n_1 k_iə_1 l_a_2 z_ă_j_3 d_o_j_2 f_u_4 z_ɤ_p_6b b_ɔ_ŋ͡m_5 k_ɤ̆_j_1
VIVOSSPK19_186|tʰ_uə_k_5b z_a_m_4 ɣ_ɤ̆_w_2 ɤ_4 t_ɔ_k͡p_5b v_a_2 l_a_m_2 ŋ_ɯ_ŋ_1 z_u_ŋ_6 t_ɔ_k͡p_5b
VIVOSSPK19_187|z_iə_p_6b ŋ_i_3 ɲ_ɯ_1 v_ɤ̆_j_6 z_o_j_2 t_ɯ_6 k_ɯə_j_2 ɲ_a_w_6 c_i_ŋ_5 m_i_ŋ_2
VIVOSSPK19_188|k_o_ŋ͡m_1 v_ă_n_1 d_e_2 ŋ_i_6 t_i_ŋ_4 k_ɔ_n_1 t_u_m_1 s_ɤ̆_j_1 z_ɯ_ŋ_6 k_ɯə_4 x_ɤ̆_w_4
VIVOSSPK19_189|b_a_n_6 k_ɔ_5 tʰ_e_4 ɣ_ɛ_5 tʰ_ă_m_1 n_ɔ_5
VIVOSSPK19_190|k_ă_j_5 b_ɛ_ŋ_5 k_ă_j_5
VIVOSSPK19_191|ɲ_ɯ_ŋ_1 t_i_ŋ_2 iə_w_1 v_ɤ̆_n_3 n_o_ŋ͡m_2 n_a_n_2 v_a_2 s_ă_j_1 d_ă_m_5 ɲ_ɯ_1 b_uə_j_4 b_a_n_1 d_ɤ̆_w_2
VIVOSSPK19_192|c_i_ŋ_5 kw_iɛ_n_2 d_iə_6 f_ɯə_ŋ_1
VIVOSSPK19_193|x_o_ŋ͡m_1 x_i_5 x_ɤ̆_n_4 c_ɯə_ŋ_1 d_e_n_5 n_o_j_3
VIVOSSPK19_194|z_ɔ_1 c_i_ŋ_5 f_u_4 m_i_3 t_iə_n_5 h_ɛ_ŋ_2 ɤ_4 v_iə_t_6b n_a_m_1
VIVOSSPK19_195|tʰ_i_t_6b h_o_4 s_ɔ_ŋ͡m_1 ŋ_ɯə_j_2 s_ɯə_1
VIVOSSPK19_196|ɲ_ɯ_ŋ_3 l_u_k_5b t_u_ŋ_2 m_uə_n_5 tʰ_e_4 h_iə_n_6 c_ɤ̆_t_5b iɛ_ŋ_1 h_u_ŋ_2
VIVOSSPK19_197|v_a_2 d_ɤ̆_j_1 l_a_2 x_u_1 v_ɯ_k_6b z_ɤ̆_n_1 k_ɯ_1 l_a_w_1 d_o_ŋ͡m_6 ŋ_eo_2
VIVOSSPK19_198|ɲ_ɤ_2 m_o_t_6b c_iə_k_5b k_a_p_5b b_ă_ŋ_2 tʰ_ɛ_p_5b x_o_ŋ͡m_1 ɣ_i_4
VIVOSSPK19_199|s_a_j_1 l_ɤ̆_m_2 k_uə_4 t_o_j_1 l_a_2 d_o_4 h_e_t_5b v_iə_k_6b k_ɔ_n_1 k_a_j_5 l_e_n_1 d_ɤ̆_w_2 b_a_2 ɤ̆_j_5
VIVOSSPK19_200|t_i_ŋ_4 kw_a_ŋ_4 c_i_6 d_a_3 f_e_1 z_w_iə_t_6b
VIVOSSPK19_201|x_o_ŋ͡m_1 m_o_t_6b h_a_j_1 b_a_1 b_o_n_5
VIVOSSPK19_202|b_o_n_5 n_ă_m_1 s_ă_w_5 b_ă_j_4 t_a_m_5
VIVOSSPK19_203|t_a_m_5 c_i_n_5 m_ɯə_j_2 m_ɯə_j_2 m_o_t_6b
VIVOSSPK19_204|m_ɯə_j_2 m_o_t_6b m_ɯə_j_2 h_a_j_1 m_ɯə_j_2 b_a_1
VIVOSSPK19_205|m_ɯə_j_2 b_o_n_5 m_ɯə_j_2 l_ă_m_1 m_ɯə_j_2 s_ă_w_5
VIVOSSPK19_206|m_ɯə_j_2 b_ă_j_4 m_ɯə_j_2 t_a_m_5 m_ɯə_j_2 c_i_n_5
VIVOSSPK19_207|h_a_j_1 m_ɯə_j_1 h_a_j_1 m_ɯə_j_1 m_o_t_5b
VIVOSSPK19_208|h_a_j_1 m_ɯə_j_1 h_a_j_1 h_a_j_1 m_ɯə_j_1 b_a_1
VIVOSSPK19_209|h_a_j_1 m_ɯə_j_1 b_o_n_5 h_a_j_1 m_ɯə_j_1 l_ă_m_1
VIVOSSPK19_210|h_a_j_1 m_ɯə_j_1 s_ă_w_5 h_a_j_1 m_ɯə_j_1 b_ă_j_4
VIVOSSPK19_211|h_a_j_1 m_ɯə_j_1 t_a_m_5 h_a_j_1 m_ɯə_j_1 c_i_n_5
VIVOSSPK19_212|b_a_1 m_ɯə_j_1 b_a_1 m_ɯə_j_1 m_o_t_5b
VIVOSSPK19_213|b_a_1 m_ɯə_j_1 h_a_j_1 b_a_1 m_ɯə_j_1 b_a_1
VIVOSSPK19_214|b_a_1 m_ɯə_j_1 b_o_n_5 b_a_1 m_ɯə_j_1 l_ă_m_1
VIVOSSPK19_215|b_a_1 m_ɯə_j_1 s_ă_w_5 b_a_1 m_ɯə_j_1 b_ă_j_4
VIVOSSPK19_216|b_a_1 m_ɯə_j_1 t_a_m_5 b_a_1 m_ɯə_j_1 c_i_n_5
VIVOSSPK19_217|b_o_n_5 m_ɯə_j_1 b_o_n_5 m_ɯə_j_1 m_o_t_5b
VIVOSSPK19_218|b_o_n_5 m_ɯə_j_1 h_a_j_1 b_o_n_5 m_ɯə_j_1 b_a_1
VIVOSSPK19_219|b_o_n_5 m_ɯə_j_1 b_o_n_5 b_o_n_5 m_ɯə_j_1 l_ă_m_1
VIVOSSPK19_220|b_o_n_5 m_ɯə_j_1 s_ă_w_5 b_o_n_5 m_ɯə_j_1 b_ă_j_4
VIVOSSPK19_221|b_o_n_5 m_ɯə_j_1 t_a_m_5 b_o_n_5 m_ɯə_j_1 c_i_n_5
VIVOSSPK19_222|n_ă_m_1 m_ɯə_j_1 n_ă_m_1 m_ɯə_j_1 m_o_t_5b
VIVOSSPK19_223|n_ă_m_1 m_ɯə_j_1 h_a_j_1 n_ă_m_1 m_ɯə_j_1 b_a_1
VIVOSSPK19_224|n_ă_m_1 m_ɯə_j_1 b_o_n_5 n_ă_m_1 m_ɯə_j_1 l_ă_m_1
VIVOSSPK19_225|n_ă_m_1 m_ɯə_j_1 s_ă_w_5 n_ă_m_1 m_ɯə_j_1 b_ă_j_4
VIVOSSPK19_226|n_ă_m_1 m_ɯə_j_1 t_a_m_5 n_ă_m_1 m_ɯə_j_1 c_i_n_5
VIVOSSPK19_227|s_ă_w_5 m_ɯə_j_1 s_ă_w_5 m_ɯə_j_1 m_o_t_5b
VIVOSSPK19_228|s_ă_w_5 m_ɯə_j_1 h_a_j_1 s_ă_w_5 m_ɯə_j_1 b_a_1
VIVOSSPK19_229|s_ă_w_5 m_ɯə_j_1 b_o_n_5 s_ă_w_5 m_ɯə_j_1 l_ă_m_1
VIVOSSPK19_230|s_ă_w_5 m_ɯə_j_1 s_ă_w_5 s_ă_w_5 m_ɯə_j_1 b_ă_j_4
VIVOSSPK19_231|s_ă_w_5 m_ɯə_j_1 t_a_m_5 s_ă_w_5 m_ɯə_j_1 c_i_n_5
VIVOSSPK19_232|b_ă_j_4 m_ɯə_j_1 b_ă_j_4 m_ɯə_j_1 m_o_t_5b
VIVOSSPK19_233|b_ă_j_4 m_ɯə_j_1 h_a_j_1 b_ă_j_4 m_ɯə_j_1 b_a_1
VIVOSSPK19_234|b_ă_j_4 m_ɯə_j_1 b_o_n_5 b_ă_j_4 m_ɯə_j_1 l_ă_m_1
VIVOSSPK19_235|b_ă_j_4 m_ɯə_j_1 s_ă_w_5 b_ă_j_4 m_ɯə_j_1 b_ă_j_4
VIVOSSPK19_236|b_ă_j_4 m_ɯə_j_1 t_a_m_5 b_ă_j_4 m_ɯə_j_1 c_i_n_5
VIVOSSPK19_237|t_a_m_5 m_ɯə_j_1 t_a_m_5 m_ɯə_j_1 m_o_t_5b
VIVOSSPK19_238|t_a_m_5 m_ɯə_j_1 h_a_j_1 t_a_m_5 m_ɯə_j_1 b_a_1
VIVOSSPK19_239|t_a_m_5 m_ɯə_j_1 b_o_n_5 t_a_m_5 m_ɯə_j_1 l_ă_m_1
VIVOSSPK19_240|t_a_m_5 m_ɯə_j_1 s_ă_w_5 t_a_m_5 m_ɯə_j_1 b_ă_j_4
VIVOSSPK19_241|t_a_m_5 m_ɯə_j_1 t_a_m_5 t_a_m_5 m_ɯə_j_1 c_i_n_5
VIVOSSPK19_242|c_i_n_5 m_ɯə_j_1 c_i_n_5 m_ɯə_j_1 m_o_t_5b
VIVOSSPK19_243|c_i_n_5 m_ɯə_j_1 h_a_j_1 c_i_n_5 m_ɯə_j_1 b_a_1
VIVOSSPK19_244|c_i_n_5 m_ɯə_j_1 b_o_n_5 c_i_n_5 m_ɯə_j_1 l_ă_m_1
VIVOSSPK19_245|c_i_n_5 m_ɯə_j_1 s_ă_w_5 c_i_n_5 m_ɯə_j_1 b_ă_j_4
VIVOSSPK19_246|c_i_n_5 m_ɯə_j_1 t_a_m_5 c_i_n_5 m_ɯə_j_1 c_i_n_5
VIVOSSPK19_247|m_o_t_6b c_ă_m_1 m_o_t_6b h_a_j_1 b_a_1
VIVOSSPK19_248|m_o_t_6b b_a_1 n_ă_m_1 b_ă_j_4 c_i_n_5
VIVOSSPK19_249|x_o_ŋ͡m_1 h_a_j_1 b_o_n_5 s_ă_w_5 t_a_m_5
VIVOSSPK19_250|m_o_t_6b h_a_j_1 b_a_1 b_o_n_5 n_ă_m_1
VIVOSSPK19_251|c_iə_w_2 n_ă_j_1 c_ɤ_j_2 x_o_ŋ͡m_1 m_ɯə_1 ɲ_ɯ_ŋ_1 k_ɔ_5 n_ă_ŋ_5
VIVOSSPK19_252|t_o_j_1 d_a_3 n_ɔ_j_5 b_a_w_1 ɲ_iə_w_1 l_ɤ̆_n_2 z_o_j_2
VIVOSSPK19_253|c_u_5 x_o_ŋ͡m_1 d_ɯə_k_6b t_w_i_2 t_iə_n_6 s_o_ŋ͡m_1 v_a_w_2 x_i_1 t_o_j_1 t_ă_m_5
VIVOSSPK19_254|k_e_t_5b k_uə_k_6b b_i_1 tʰ_a_m_4 c_ɔ_1 m_o_t_6b k_uə_k_6b t_i_ŋ_2
VIVOSSPK19_255|k_uə_k_6b s_o_ŋ͡m_5 k_ɤ_1 k_ɯ_k_6b k_uə_4 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 b_a_n_5 h_a_ŋ_2 z_ɔ_ŋ͡m_1
VIVOSSPK19_256|t_u_j_1 c_i_4 n_e_4 s_ɯ_4 n_ɯ_3 v_a_2 b_ɔ_2 k_a_p_6b tʰ_o_j_1
VIVOSSPK19_257|k_iə_m_5 t_iə_n_2 x_ɔ_5 kw_a_5 c_ă_k_5b f_a_j_4 c_w_iə_n_4 ŋ_e_2
VIVOSSPK19_258|s_ɔ_m_5 d_a_w_6 ɤ_4 d_ɯə_ŋ_2 ŋ_w_iə_n_3 c_i_5 tʰ_ɛ_ŋ_1
VIVOSSPK19_259|k_uə_ŋ_2 l_ɔ_ŋ͡m_1 l_w_a_n_6 v_u_3
VIVOSSPK19_260|m_o_t_6b m_ɔ_n_5 kw_a_2 s_i_ŋ_1 ɲ_ɤ̆_t_6b i_5 ŋ_iə_3
VIVOSSPK19_261|t_o_j_5 n_ă_j_1 ă_n_1 ɣ_i_2
VIVOSSPK19_262|o_ŋ͡m_1 b_a_k_5b b_i_6 m_ɤ̆_t_5b ŋ_u_4 s_i_ŋ_1 b_e_ŋ_6
VIVOSSPK19_263|h_o_j_6 c_ɯ_ŋ_5 s_w_i_1 z_a_m_4 m_iə_n_3 z_i_k_6b m_ă_k_5b f_a_j_4
VIVOSSPK19_264|s_a_ŋ_5 tʰ_e_5
VIVOSSPK19_265|x_a_j_4 h_w_iə_n_2
VIVOSSPK19_266|k_uə_k_6b d_ɤ_j_2 k_uə_4 o_ŋ͡m_1 l_a_w_3 b_a_n_5 z_iə_m_1
VIVOSSPK19_267|s_a_ŋ_1 t_e_n_1 v_ɤ_6 x_o_ŋ͡m_1 f_a_j_4 c_w_iə_n_6 x_ɔ_5
VIVOSSPK19_268|t_i_ŋ_2 t_iə_n_2 t_u_2 t_o_j_6
VIVOSSPK19_269|v_i_2 s_a_w_1 t_i_ŋ_2 z_u_k_6b l_a_j_6 h_ɤ̆_p_5b z_ɤ̆_n_3
VIVOSSPK19_270|s_o_ŋ͡m_5 b_a_n_4 n_ă_ŋ_1 h_ă_j_1 s_o_ŋ͡m_5 l_i_5 c_i_5
VIVOSSPK19_271|ɛ_ŋ_1 k_ɯ_5 h_ă_j_1 v_iə_n_6 k_ɤ_5 v_e_2 x_w_iə_1
VIVOSSPK19_272|h_ă_j_1 l_a_2 ɛ_ŋ_1 k_ɔ_5 b_o_2 ɲ_i_5
VIVOSSPK19_273|c_ă_w_5 b_ɛ_5 z_ɔ_j_4 l_ă_m_5
VIVOSSPK19_274|ŋ_w_a_n_1 c_u_5 c_ɔ_1 k_eo_6 n_ɛ_2
VIVOSSPK19_275|k_o_ŋ͡m_1 ŋ_e_6 f_ɤ̆_n_2 m_e_m_2 x_a_5 l_a_2 t_a_w_2 l_a_w_1
VIVOSSPK19_276|k_ɤ_1 s_ɤ_4 z_ɯ_3 l_iə_w_6 k_ɔ_n_2 ɲ_a_m_4 z_ɯ_3 n_ɯə_3
VIVOSSPK19_277|l_ɯə_ŋ_1 k_uə_4 ŋ_iə_n_1 k_ɯ_w_5 v_iə_n_1 c_i_4 k_ɔ_5 b_a_1 c_iə_w_6 d_o_ŋ͡m_2
VIVOSSPK19_278|n_ɔ_5 s_o_ŋ͡m_5 ɲ_ɤ_2 b_e_n_1 v_ɤ_6 n_e_n_1 b_i_6 c_ɯ_j_4 ɣ_e_1 l_ă_m_5
VIVOSSPK19_279|ɛ_m_1 tʰ_o_ŋ͡m_1 k_a_m_4 c_ɔ_1 ɛ_ŋ_1 ɲ_ɛ_5
VIVOSSPK19_280|c_i_w_2 ɛ_ŋ_1 d_i_1 ɛ_m_1 s_ɛ_3 k_ɔ_5 t_ɤ̆_t_5b k_a_4
VIVOSSPK19_281|t_w_iə_n_4 tʰ_ɯ_1 k_i_5 c_i_w_6 kw_a_n_1 h_e_6 t_i_ŋ_2 z_u_k_6b v_ɤ_j_5 z_a_m_5 d_o_k͡p_5b
VIVOSSPK19_282|ɲ_ɤ̆_n_1 v_iə_n_1 b_a_w_4 v_e_6 v_a_2 ɣ_a_j_5 z_ɔ_n_6 f_ɔ_ŋ͡m_2
VIVOSSPK19_283|k_u_5 d_u_p_5b v_a_w_2 l_ɯə_j_5 d_o_j_6 t_w_iə_n_4 v_iə_t_6b n_a_m_1
VIVOSSPK19_284|b_ɯə_3 n_ă_j_1 ă_n_1 h_w_a_ŋ_2 t_i_1 ɲ_a_1
VIVOSSPK19_285|k_uə_j_5 n_ă_m_1 m_i_ŋ_2 ă_n_1 l_a_ŋ_2 n_ɯə_ŋ_5
VIVOSSPK19_286|n_ă_m_1 ŋ_w_a_j_5 k_u_ŋ_3 ă_n_1 ɤ_4 d_ɔ_5
VIVOSSPK19_287|t_iə_m_6 k_ă_t_5b t_ɔ_k͡p_5b c_ɔ_1 tʰ_ɤ̆_j_2 c_uə_2
VIVOSSPK19_288|s_i_n_1 tʰ_i_5 c_u_4 z_ɯ_ŋ_2 t_ă_j_1
VIVOSSPK19_289|l_a_w_3 n_a_p_6b c_i_4 k_ɔ_5 ɲ_iə_w_1 d_ɤ̆_j_1 tʰ_o_j_1
VIVOSSPK19_290|b_ɔ_n_6 ɤ̆_n_5 d_o_6 k_ɤ̆_m_2 tʰ_u_5
VIVOSSPK19_291|v_ɯə_2 s_a_w_6 v_ɯə_2 ŋ_u_1 m_a_2 k_ɔ_n_2 t_ɔ_4 z_a_1 ŋ_w_i_1 h_iə_m_4
VIVOSSPK19_292|ɲ_ɤ̆_t_5b tʰ_ɛ_ŋ_2 tʰ_ɯə_ŋ_6 d_a_t_6b v_a_n_6 t_o_j_6 b_ă_ŋ_1 t_iə_w_1
VIVOSSPK19_293|l_i_ŋ_1 k_ɯ_w_4 k_uə_4 ɛ_ŋ_1 c_ɯə_ŋ_2 d_ɯə_k_6b d_ɯə_1 v_e_2 k_a_2 m_ă_w_1
VIVOSSPK19_294|h_iə_n_6 tʰ_ɤ̆_n_1 k_uə_4 t_o_j_1 l_a_2 b_o_n_5 c_ă_m_1 b_o_n_5 m_ɯə_j_1 b_o_n_5
VIVOSSPK19_295|k_ɤ̆_w_2 c_uə_5 b_a_n_1 f_ɯə_k_5b c_ɔ_1 ɛ_ŋ_1
VIVOSSPK19_296|k_a_k_5b tʰ_iə_n_1 tʰ_ɤ̆_n_2 l_uə_n_1 ɤ_4 kw_ɛ_ŋ_1 t_a_1
VIVOSSPK19_297|f_ɤ̆_t_6b d_a_3 v_e_2 n_iə_t_5b b_a_n_2
VIVOSSPK19_298|z_i_ŋ_1 tʰ_ɯ_6 d_o_2 s_o_2 k_uə_4 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 k_u_ŋ_2 x_o_4
VIVOSSPK19_299|ŋ_ɯə_j_2 f_a_t_5b ŋ_o_n_1 b_o_6 ŋ_w_a_j_6 z_a_w_1 c_ɔ_1 b_iə_t_5b
VIVOSSPK19_300|ɲ_ɤ̆_t_6b h_w_a_ŋ_2 m_uə_n_1 n_ă_m_1
VIVOSSPK20_001|ɲ_ɯ_ŋ_1 t_o_j_1 tʰ_i_k_5b s_ɛ_m_1 b_o_6 f_i_m_1 c_w_iə_n_6 f_a_t_5b ŋ_ă_j_1 s_ă_w_1 c_ɯə_ŋ_1 c_i_ŋ_2 n_ă_j_2
VIVOSSPK20_002|ɲ_ɯ_ŋ_3 f_a_1 t_ɤ̆_n_5 k_o_ŋ͡m_1 z_o_n_2 z_ɤ̆_p_6b k_uə_4 d_o_ŋ͡m_2 t_ɤ̆_m_1 l_ɔ_ŋ͡m_1 a_n_1
VIVOSSPK20_003|k_ɛ_ŋ_4 s_a_t_5b c_ɯə_ŋ_4 ɲ_ɯə_ŋ_5 m_ă_j_2 v_e_2 f_iə_5 b_a_2
VIVOSSPK20_004|l_e_1 tʰ_u_j_5 ŋ_a_1 s_i_n_1 t_iə_n_3 ɲ_a_2 tʰ_ɤ_1 k_uə_4 c_ɯə_ŋ_2 s_ɤ_n_1 x_ɔ_j_5 l_ɯə_4 m_o_t_6b tʰ_ɤ_j_2
VIVOSSPK20_005|c_i_4 k_ɔ_5 d_iə_w_2 k_o_1 t_a_1 m_a_ŋ_1 z_ă_j_2 c_iə_k_5b v_ă_j_5 l_ɛ_n_1 z_a_j_2 b_ă_ŋ_2 l_o_ŋ͡m_1 k_ɯ_w_2
VIVOSSPK20_006|m_ă_t_6b s_ɤ̆_n_1 k_ɔ_4 kw_a_5 s_ɤ̆_w_5
